Kinases (NCBI_Gene_symbol),Entrez Gene_ID (Kinase),description,type_of_gene,map_location, Substrate (NCBI_Gene_symbol),Entrez Gene_ID (Substrate),description,type_of_gene,map_location
MKNK2,2872,MAP kinase interacting serine/threonine kinase 2,protein-coding,19p13.3,SPRY2,10253,sprouty homolog 2 (Drosophila),protein-coding,13q31.1
MOK,5891,MOK protein kinase,protein-coding,14q32,SMAD4,4089,SMAD family member 4,protein-coding,18q21.1
MOK,5891,MOK protein kinase,protein-coding,14q32,SOX10,6663,SRY (sex determining region Y)-box 10,protein-coding,22q13.1
MOK,5891,MOK protein kinase,protein-coding,14q32,CSNK2A2,1459,"casein kinase 2, alpha prime polypeptide",protein-coding,16q21
MOK,5891,MOK protein kinase,protein-coding,14q32,MAPK7,5598,mitogen-activated protein kinase 7,protein-coding,17p11.2
MOK,5891,MOK protein kinase,protein-coding,14q32,MBNL3,55796,muscleblind-like splicing regulator 3,protein-coding,Xq26.2
MOS,4342,v-mos Moloney murine sarcoma viral oncogene homolog,protein-coding,8q11,MBNL3,55796,muscleblind-like splicing regulator 3,protein-coding,Xq26.2
MOS,4342,v-mos Moloney murine sarcoma viral oncogene homolog,protein-coding,8q11,TRIM24,8805,tripartite motif containing 24,protein-coding,7q32-q34
MOS,4342,v-mos Moloney murine sarcoma viral oncogene homolog,protein-coding,8q11,VIM,7431,vimentin,protein-coding,10p13
MOS,4342,v-mos Moloney murine sarcoma viral oncogene homolog,protein-coding,8q11,CSRP3,8048,cysteine and glycine-rich protein 3 (cardiac LIM protein),protein-coding,11p15.1
MST1R,4486,macrophage stimulating 1 receptor (c-met-related tyrosine kinase),protein-coding,3p21.3,MET,4233,met proto-oncogene (hepatocyte growth factor receptor),protein-coding,7q31
MST4,51765,serine/threonine protein kinase MST4,protein-coding,Xq26.2,PDCD10,11235,programmed cell death 10,protein-coding,3q26.1
MST4,51765,serine/threonine protein kinase MST4,protein-coding,Xq26.2,EZR,7430,ezrin,protein-coding,6q25.3
MST4,51765,serine/threonine protein kinase MST4,protein-coding,Xq26.2,LZTS1,11178,"leucine zipper, putative tumor suppressor 1",protein-coding,8p22
MTOR,2475,mechanistic target of rapamycin (serine/threonine kinase),protein-coding,1p36.2,SRRM2,23524,serine/arginine repetitive matrix 2,protein-coding,16p13.3
MTOR,2475,mechanistic target of rapamycin (serine/threonine kinase),protein-coding,1p36.2,UBR4,23352,ubiquitin protein ligase E3 component n-recognin 4,protein-coding,1p36.13
MTOR,2475,mechanistic target of rapamycin (serine/threonine kinase),protein-coding,1p36.2,BRD9,65980,bromodomain containing 9,protein-coding,5p15.33
MTOR,2475,mechanistic target of rapamycin (serine/threonine kinase),protein-coding,1p36.2,MAF1,84232,MAF1 homolog (S. cerevisiae),protein-coding,8q24.3
MTOR,2475,mechanistic target of rapamycin (serine/threonine kinase),protein-coding,1p36.2,PATL1,219988,protein associated with topoisomerase II homolog 1 (yeast),protein-coding,11q12.1
MTOR,2475,mechanistic target of rapamycin (serine/threonine kinase),protein-coding,1p36.2,EEF2K,29904,eukaryotic elongation factor-2 kinase,protein-coding,16p12.2
MTOR,2475,mechanistic target of rapamycin (serine/threonine kinase),protein-coding,1p36.2,GRB10,2887,growth factor receptor-bound protein 10,protein-coding,7p12.2
MTOR,2475,mechanistic target of rapamycin (serine/threonine kinase),protein-coding,1p36.2,DEPTOR,64798,DEP domain containing MTOR-interacting protein,protein-coding,8q24.12
MTOR,2475,mechanistic target of rapamycin (serine/threonine kinase),protein-coding,1p36.2,AKT1S1,84335,AKT1 substrate 1 (proline-rich),protein-coding,19q13.33
MTOR,2475,mechanistic target of rapamycin (serine/threonine kinase),protein-coding,1p36.2,ULK1,8408,unc-51-like kinase 1 (C. elegans),protein-coding,12q24.3
MTOR,2475,mechanistic target of rapamycin (serine/threonine kinase),protein-coding,1p36.2,ANKRD17,26057,ankyrin repeat domain 17,protein-coding,4q13.3
MTOR,2475,mechanistic target of rapamycin (serine/threonine kinase),protein-coding,1p36.2,MYC,4609,v-myc myelocytomatosis viral oncogene homolog (avian),protein-coding,8q24.21
MTOR,2475,mechanistic target of rapamycin (serine/threonine kinase),protein-coding,1p36.2,ZNF768,79724,zinc finger protein 768,protein-coding,16p11.2
MTOR,2475,mechanistic target of rapamycin (serine/threonine kinase),protein-coding,1p36.2,LARP1,23367,"La ribonucleoprotein domain family, member 1",protein-coding,5q33.2
MTOR,2475,mechanistic target of rapamycin (serine/threonine kinase),protein-coding,1p36.2,SRRM1,10250,serine/arginine repetitive matrix 1,protein-coding,1p36.11
MTOR,2475,mechanistic target of rapamycin (serine/threonine kinase),protein-coding,1p36.2,AKT1,207,v-akt murine thymoma viral oncogene homolog 1,protein-coding,14q32.32
MTOR,2475,mechanistic target of rapamycin (serine/threonine kinase),protein-coding,1p36.2,BAG3,9531,BCL2-associated athanogene 3,protein-coding,10q25.2-q26.2
MTOR,2475,mechanistic target of rapamycin (serine/threonine kinase),protein-coding,1p36.2,RPTOR,57521,"regulatory associated protein of MTOR, complex 1",protein-coding,17q25.3
MTOR,2475,mechanistic target of rapamycin (serine/threonine kinase),protein-coding,1p36.2,DAP,1611,death-associated protein,protein-coding,5p15.2
MTOR,2475,mechanistic target of rapamycin (serine/threonine kinase),protein-coding,1p36.2,EIF4EBP1,1978,eukaryotic translation initiation factor 4E binding protein 1,protein-coding,8p12
MTOR,2475,mechanistic target of rapamycin (serine/threonine kinase),protein-coding,1p36.2,FAM21A,387680,"family with sequence similarity 21, member A",protein-coding,10q11.23
MTOR,2475,mechanistic target of rapamycin (serine/threonine kinase),protein-coding,1p36.2,DNMT1,1786,DNA (cytosine-5-)-methyltransferase 1,protein-coding,19p13.2
MTOR,2475,mechanistic target of rapamycin (serine/threonine kinase),protein-coding,1p36.2,ELL,8178,elongation factor RNA polymerase II,protein-coding,19p13.1
MTOR,2475,mechanistic target of rapamycin (serine/threonine kinase),protein-coding,1p36.2,RPRD1B,58490,regulation of nuclear pre-mRNA domain containing 1B,protein-coding,20q11.21-q12
MTOR,2475,mechanistic target of rapamycin (serine/threonine kinase),protein-coding,1p36.2,MYCN,4613,"v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)",protein-coding,2p24.3
MTOR,2475,mechanistic target of rapamycin (serine/threonine kinase),protein-coding,1p36.2,RPS6KB1,6198,"ribosomal protein S6 kinase, 70kDa, polypeptide 1",protein-coding,17q23.1
MTOR,2475,mechanistic target of rapamycin (serine/threonine kinase),protein-coding,1p36.2,SGK1,6446,serum/glucocorticoid regulated kinase 1,protein-coding,6q23
MTOR,2475,mechanistic target of rapamycin (serine/threonine kinase),protein-coding,1p36.2,WNK1,65125,WNK lysine deficient protein kinase 1,protein-coding,12p13.3
MYLK,4638,myosin light chain kinase,protein-coding,3q21,MYL12B,103910,"myosin, light chain 12B, regulatory",protein-coding,18p11.31
MYLK,4638,myosin light chain kinase,protein-coding,3q21,MYL9,10398,"myosin, light chain 9, regulatory",protein-coding,20q11.23
MYLK,4638,myosin light chain kinase,protein-coding,3q21,NEUROD1,4760,neuronal differentiation 1,protein-coding,2q32
MYLK2,85366,myosin light chain kinase 2,protein-coding,20q13.31,MAPK8,5599,mitogen-activated protein kinase 8,protein-coding,10q11.22
MYLK2,85366,myosin light chain kinase 2,protein-coding,20q13.31,CRY1,1407,cryptochrome 1 (photolyase-like),protein-coding,12q23-q24.1
MYLK2,85366,myosin light chain kinase 2,protein-coding,20q13.31,ZNF396,252884,zinc finger protein 396,protein-coding,18q12
MYLK2,85366,myosin light chain kinase 2,protein-coding,20q13.31,PPP2R1B,5519,"protein phosphatase 2, regulatory subunit A, beta",protein-coding,11q23.2
MYLK2,85366,myosin light chain kinase 2,protein-coding,20q13.31,MAP4K5,11183,mitogen-activated protein kinase kinase kinase kinase 5,protein-coding,14q11.2-q21
MYLK2,85366,myosin light chain kinase 2,protein-coding,20q13.31,RIPK3,11035,receptor-interacting serine-threonine kinase 3,protein-coding,14q11.2
MYO3A,53904,myosin IIIA,protein-coding,10p11.1,UHMK1,127933,U2AF homology motif (UHM) kinase 1,protein-coding,1q23.3
MYO3A,53904,myosin IIIA,protein-coding,10p11.1,HLCS,3141,holocarboxylase synthetase (biotin-(proprionyl-CoA-carboxylase (ATP-hydrolysing)) ligase),protein-coding,21q22.13
MYO3A,53904,myosin IIIA,protein-coding,10p11.1,SQSTM1,8878,sequestosome 1,protein-coding,5q35
MYO3A,53904,myosin IIIA,protein-coding,10p11.1,MBNL3,55796,muscleblind-like splicing regulator 3,protein-coding,Xq26.2
NEK1,4750,NIMA-related kinase 1,protein-coding,4q33,NDC80,10403,NDC80 kinetochore complex component,protein-coding,18p11.32
NEK1,4750,NIMA-related kinase 1,protein-coding,4q33,VDAC1,7416,voltage-dependent anion channel 1,protein-coding,5q31
NEK10,152110,NIMA-related kinase 10,protein-coding,3p24.1,TRIP10,9322,thyroid hormone receptor interactor 10,protein-coding,19p13.3
NEK10,152110,NIMA-related kinase 10,protein-coding,3p24.1,ASAP2,8853,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 2",protein-coding,2p25|2p24
NEK10,152110,NIMA-related kinase 10,protein-coding,3p24.1,KCNIP2,30819,Kv channel interacting protein 2,protein-coding,10q24
NEK11,79858,NIMA-related kinase 11,protein-coding,3q22.1,MYRF,745,myelin regulatory factor,protein-coding,11q12-q13.1
NEK11,79858,NIMA-related kinase 11,protein-coding,3q22.1,CDC25A,993,cell division cycle 25A,protein-coding,3p21
NEK11,79858,NIMA-related kinase 11,protein-coding,3q22.1,HLCS,3141,holocarboxylase synthetase (biotin-(proprionyl-CoA-carboxylase (ATP-hydrolysing)) ligase),protein-coding,21q22.13
NEK2,4751,NIMA-related kinase 2,protein-coding,1q32.2-q41,ASAP2,8853,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 2",protein-coding,2p25|2p24
NEK2,4751,NIMA-related kinase 2,protein-coding,1q32.2-q41,MTA1,9112,metastasis associated 1,protein-coding,14q32.3
NEK2,4751,NIMA-related kinase 2,protein-coding,1q32.2-q41,HCLS1,3059,hematopoietic cell-specific Lyn substrate 1,protein-coding,3q13
NEK2,4751,NIMA-related kinase 2,protein-coding,1q32.2-q41,TRIM24,8805,tripartite motif containing 24,protein-coding,7q32-q34
NEK2,4751,NIMA-related kinase 2,protein-coding,1q32.2-q41,TMSB4XP8,7117,"thymosin beta 4, X-linked pseudogene 8",pseudo,4q22.1
NEK2,4751,NIMA-related kinase 2,protein-coding,1q32.2-q41,PCM1,5108,pericentriolar material 1,protein-coding,8p22-p21.3
NEK2,4751,NIMA-related kinase 2,protein-coding,1q32.2-q41,CNTROB,116840,"centrobin, centrosomal BRCA2 interacting protein",protein-coding,17p13.1
NEK2,4751,NIMA-related kinase 2,protein-coding,1q32.2-q41,SGOL1,151648,shugoshin-like 1 (S. pombe),protein-coding,3p24.3
NEK2,4751,NIMA-related kinase 2,protein-coding,1q32.2-q41,EIF4ENIF1,56478,eukaryotic translation initiation factor 4E nuclear import factor 1,protein-coding,22q11.2
NEK2,4751,NIMA-related kinase 2,protein-coding,1q32.2-q41,SAFB2,9667,scaffold attachment factor B2,protein-coding,19p13.3
NEK2,4751,NIMA-related kinase 2,protein-coding,1q32.2-q41,PPP1CC,5501,"protein phosphatase 1, catalytic subunit, gamma isozyme",protein-coding,12q24.1-q24.2
NEK2,4751,NIMA-related kinase 2,protein-coding,1q32.2-q41,PPP1R13L,10848,"protein phosphatase 1, regulatory subunit 13 like",protein-coding,19q13.32
NEK2,4751,NIMA-related kinase 2,protein-coding,1q32.2-q41,UBB,7314,ubiquitin B,protein-coding,17p12-p11.2
NEK2,4751,NIMA-related kinase 2,protein-coding,1q32.2-q41,TRIP10,9322,thyroid hormone receptor interactor 10,protein-coding,19p13.3
NEK2,4751,NIMA-related kinase 2,protein-coding,1q32.2-q41,ZYX,7791,zyxin,protein-coding,7q32
NEK2,4751,NIMA-related kinase 2,protein-coding,1q32.2-q41,SMPX,23676,"small muscle protein, X-linked",protein-coding,Xp22.1
NEK2,4751,NIMA-related kinase 2,protein-coding,1q32.2-q41,SRSF1,6426,serine/arginine-rich splicing factor 1,protein-coding,17q22
NEK2,4751,NIMA-related kinase 2,protein-coding,1q32.2-q41,PSMC3,5702,"proteasome (prosome, macropain) 26S subunit, ATPase, 3",protein-coding,11p11.2
NEK2,4751,NIMA-related kinase 2,protein-coding,1q32.2-q41,SERBP1,26135,SERPINE1 mRNA binding protein 1,protein-coding,1p31
NEK2,4751,NIMA-related kinase 2,protein-coding,1q32.2-q41,BCL3,602,B-cell CLL/lymphoma 3,protein-coding,19q13.1-q13.2
NEK2,4751,NIMA-related kinase 2,protein-coding,1q32.2-q41,NDC80,10403,NDC80 kinetochore complex component,protein-coding,18p11.32
NEK2,4751,NIMA-related kinase 2,protein-coding,1q32.2-q41,ETS1,2113,v-ets erythroblastosis virus E26 oncogene homolog 1 (avian),protein-coding,11q23.3
NEK2,4751,NIMA-related kinase 2,protein-coding,1q32.2-q41,YWHAH,7533,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide",protein-coding,22q12.3
NEK2,4751,NIMA-related kinase 2,protein-coding,1q32.2-q41,RPS6KA2,6196,"ribosomal protein S6 kinase, 90kDa, polypeptide 2",protein-coding,6q27
NEK2,4751,NIMA-related kinase 2,protein-coding,1q32.2-q41,STIP1,10963,stress-induced-phosphoprotein 1,protein-coding,11q13
NEK2,4751,NIMA-related kinase 2,protein-coding,1q32.2-q41,PRKCD,5580,"protein kinase C, delta",protein-coding,3p21.31
NEK2,4751,NIMA-related kinase 2,protein-coding,1q32.2-q41,MAP2K7,5609,mitogen-activated protein kinase kinase 7,protein-coding,19p13.3-p13.2
NEK2,4751,NIMA-related kinase 2,protein-coding,1q32.2-q41,HLCS,3141,holocarboxylase synthetase (biotin-(proprionyl-CoA-carboxylase (ATP-hydrolysing)) ligase),protein-coding,21q22.13
NEK2,4751,NIMA-related kinase 2,protein-coding,1q32.2-q41,CEP250,11190,centrosomal protein 250kDa,protein-coding,20q11.22
NEK2,4751,NIMA-related kinase 2,protein-coding,1q32.2-q41,CSDC2,27254,"cold shock domain containing C2, RNA binding",protein-coding,22q13.2
NEK2,4751,NIMA-related kinase 2,protein-coding,1q32.2-q41,PSMA6,5687,"proteasome (prosome, macropain) subunit, alpha type, 6",protein-coding,14q13
NEK2,4751,NIMA-related kinase 2,protein-coding,1q32.2-q41,CRK,1398,v-crk sarcoma virus CT10 oncogene homolog (avian),protein-coding,17p13.3
NEK2,4751,NIMA-related kinase 2,protein-coding,1q32.2-q41,SRXN1,140809,sulfiredoxin 1,protein-coding,20p13
NEK3,4752,NIMA-related kinase 3,protein-coding,13q14.13,MTA1,9112,metastasis associated 1,protein-coding,14q32.3
NEK3,4752,NIMA-related kinase 3,protein-coding,13q14.13,APITD1,378708,"apoptosis-inducing, TAF9-like domain 1",protein-coding,1p36.22
NEK3,4752,NIMA-related kinase 3,protein-coding,13q14.13,CC2D1A,54862,coiled-coil and C2 domain containing 1A,protein-coding,19p13.12
NEK3,4752,NIMA-related kinase 3,protein-coding,13q14.13,SMPX,23676,"small muscle protein, X-linked",protein-coding,Xp22.1
NEK3,4752,NIMA-related kinase 3,protein-coding,13q14.13,URI1,8725,"URI1, prefoldin-like chaperone",protein-coding,19q12
NEK3,4752,NIMA-related kinase 3,protein-coding,13q14.13,SMARCAD1,56916,"SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1",protein-coding,4q22-q23
NEK3,4752,NIMA-related kinase 3,protein-coding,13q14.13,MSANTD2,79684,Myb/SANT-like DNA-binding domain containing 2,protein-coding,11q24.2
NEK3,4752,NIMA-related kinase 3,protein-coding,13q14.13,PAXBP1,94104,PAX3 and PAX7 binding protein 1,protein-coding,21q21.3
NEK3,4752,NIMA-related kinase 3,protein-coding,13q14.13,METTL3,56339,methyltransferase like 3,protein-coding,14q11.1
NEK3,4752,NIMA-related kinase 3,protein-coding,13q14.13,CDCA7L,55536,cell division cycle associated 7-like,protein-coding,7p15.3
NEK3,4752,NIMA-related kinase 3,protein-coding,13q14.13,NUP35,129401,nucleoporin 35kDa,protein-coding,2q32.1
NEK3,4752,NIMA-related kinase 3,protein-coding,13q14.13,ZNF213,7760,zinc finger protein 213,protein-coding,16p13.3
NEK3,4752,NIMA-related kinase 3,protein-coding,13q14.13,PRDM10,56980,PR domain containing 10,protein-coding,11q25
NEK3,4752,NIMA-related kinase 3,protein-coding,13q14.13,KAT5,10524,K(lysine) acetyltransferase 5,protein-coding,11q13
NEK3,4752,NIMA-related kinase 3,protein-coding,13q14.13,ZNF81,347344,zinc finger protein 81,protein-coding,Xp11.23
NEK3,4752,NIMA-related kinase 3,protein-coding,13q14.13,ARID3A,1820,AT rich interactive domain 3A (BRIGHT-like),protein-coding,19p13.3
NEK3,4752,NIMA-related kinase 3,protein-coding,13q14.13,SMARCAL1,50485,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a-like 1",protein-coding,2q35
NEK3,4752,NIMA-related kinase 3,protein-coding,13q14.13,NFATC4,4776,"nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 4",protein-coding,14q11.2
NEK3,4752,NIMA-related kinase 3,protein-coding,13q14.13,HCLS1,3059,hematopoietic cell-specific Lyn substrate 1,protein-coding,3q13
NEK3,4752,NIMA-related kinase 3,protein-coding,13q14.13,HSPB1,3315,heat shock 27kDa protein 1,protein-coding,7q11.23
NEK3,4752,NIMA-related kinase 3,protein-coding,13q14.13,PSMA8,143471,"proteasome (prosome, macropain) subunit, alpha type, 8",protein-coding,18q11.2
NEK3,4752,NIMA-related kinase 3,protein-coding,13q14.13,MIS18BP1,55320,MIS18 binding protein 1,protein-coding,14q21.2
NEK3,4752,NIMA-related kinase 3,protein-coding,13q14.13,MYRF,745,myelin regulatory factor,protein-coding,11q12-q13.1
NEK3,4752,NIMA-related kinase 3,protein-coding,13q14.13,ZNF765,91661,zinc finger protein 765,protein-coding,19q13.42
NEK3,4752,NIMA-related kinase 3,protein-coding,13q14.13,YWHAZ,7534,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide",protein-coding,8q23.1
NEK3,4752,NIMA-related kinase 3,protein-coding,13q14.13,HNRNPK,3190,heterogeneous nuclear ribonucleoprotein K,protein-coding,9q21.32-q21.33
NEK3,4752,NIMA-related kinase 3,protein-coding,13q14.13,ZYX,7791,zyxin,protein-coding,7q32
NEK3,4752,NIMA-related kinase 3,protein-coding,13q14.13,CRK,1398,v-crk sarcoma virus CT10 oncogene homolog (avian),protein-coding,17p13.3
NEK3,4752,NIMA-related kinase 3,protein-coding,13q14.13,MDM2,4193,"MDM2 oncogene, E3 ubiquitin protein ligase",protein-coding,12q14.3-q15
NEK3,4752,NIMA-related kinase 3,protein-coding,13q14.13,CSDC2,27254,"cold shock domain containing C2, RNA binding",protein-coding,22q13.2
NEK3,4752,NIMA-related kinase 3,protein-coding,13q14.13,RNASEH2C,84153,"ribonuclease H2, subunit C",protein-coding,11q13.1
NEK3,4752,NIMA-related kinase 3,protein-coding,13q14.13,LUZP1,7798,leucine zipper protein 1,protein-coding,1p36
NEK4,6787,NIMA-related kinase 4,protein-coding,3p21.1,MTA1,9112,metastasis associated 1,protein-coding,14q32.3
NEK4,6787,NIMA-related kinase 4,protein-coding,3p21.1,DHX32,55760,DEAH (Asp-Glu-Ala-His) box polypeptide 32,protein-coding,10q26.2
NEK4,6787,NIMA-related kinase 4,protein-coding,3p21.1,CSTF2T,23283,"cleavage stimulation factor, 3' pre-RNA, subunit 2, 64kDa, tau variant",protein-coding,10q11
NEK4,6787,NIMA-related kinase 4,protein-coding,3p21.1,ZNF496,84838,zinc finger protein 496,protein-coding,1q44
NEK4,6787,NIMA-related kinase 4,protein-coding,3p21.1,ONECUT1,3175,one cut homeobox 1,protein-coding,15q21.3
NEK4,6787,NIMA-related kinase 4,protein-coding,3p21.1,MED28,80306,mediator complex subunit 28,protein-coding,4p16
NEK4,6787,NIMA-related kinase 4,protein-coding,3p21.1,GTF2B,2959,general transcription factor IIB,protein-coding,1p22-p21
NEK4,6787,NIMA-related kinase 4,protein-coding,3p21.1,DCLRE1B,64858,DNA cross-link repair 1B,protein-coding,1p13.2
NEK4,6787,NIMA-related kinase 4,protein-coding,3p21.1,CSRP3,8048,cysteine and glycine-rich protein 3 (cardiac LIM protein),protein-coding,11p15.1
NEK4,6787,NIMA-related kinase 4,protein-coding,3p21.1,EYA2,2139,eyes absent homolog 2 (Drosophila),protein-coding,20q13.1
NEK4,6787,NIMA-related kinase 4,protein-coding,3p21.1,DDX39A,10212,DEAD (Asp-Glu-Ala-Asp) box polypeptide 39A,protein-coding,19p13.12
NEK4,6787,NIMA-related kinase 4,protein-coding,3p21.1,EXOSC7,23016,exosome component 7,protein-coding,3p21.31
NEK4,6787,NIMA-related kinase 4,protein-coding,3p21.1,CNOT6,57472,"CCR4-NOT transcription complex, subunit 6",protein-coding,5q35.3
NEK4,6787,NIMA-related kinase 4,protein-coding,3p21.1,POGZ,23126,pogo transposable element with ZNF domain,protein-coding,1q21.3
NEK4,6787,NIMA-related kinase 4,protein-coding,3p21.1,SFMBT1,51460,Scm-like with four mbt domains 1,protein-coding,3p21.1
NEK4,6787,NIMA-related kinase 4,protein-coding,3p21.1,ZNF597,146434,zinc finger protein 597,protein-coding,16p13.3
NEK4,6787,NIMA-related kinase 4,protein-coding,3p21.1,NOL7,51406,"nucleolar protein 7, 27kDa",protein-coding,6p23
NEK4,6787,NIMA-related kinase 4,protein-coding,3p21.1,SOX10,6663,SRY (sex determining region Y)-box 10,protein-coding,22q13.1
NEK4,6787,NIMA-related kinase 4,protein-coding,3p21.1,MXD1,4084,MAX dimerization protein 1,protein-coding,2p13-p12
NEK4,6787,NIMA-related kinase 4,protein-coding,3p21.1,CPSF3,51692,"cleavage and polyadenylation specific factor 3, 73kDa",protein-coding,2p25.1
NEK4,6787,NIMA-related kinase 4,protein-coding,3p21.1,DTX1,1840,deltex homolog 1 (Drosophila),protein-coding,12q24.13
NEK4,6787,NIMA-related kinase 4,protein-coding,3p21.1,ZNF410,57862,zinc finger protein 410,protein-coding,14q24.3
NEK6,10783,NIMA-related kinase 6,protein-coding,9q33.3-q34.11,SRA1,10011,steroid receptor RNA activator 1,protein-coding,5q31.3
NEK6,10783,NIMA-related kinase 6,protein-coding,9q33.3-q34.11,NAA16,79612,"N(alpha)-acetyltransferase 16, NatA auxiliary subunit",protein-coding,13q14.11
NEK6,10783,NIMA-related kinase 6,protein-coding,9q33.3-q34.11,FABP4,2167,"fatty acid binding protein 4, adipocyte",protein-coding,8q21
NEK6,10783,NIMA-related kinase 6,protein-coding,9q33.3-q34.11,DDR1,780,discoidin domain receptor tyrosine kinase 1,protein-coding,6p21.3
NEK6,10783,NIMA-related kinase 6,protein-coding,9q33.3-q34.11,TRIP10,9322,thyroid hormone receptor interactor 10,protein-coding,19p13.3
NEK6,10783,NIMA-related kinase 6,protein-coding,9q33.3-q34.11,HCLS1,3059,hematopoietic cell-specific Lyn substrate 1,protein-coding,3q13
NEK6,10783,NIMA-related kinase 6,protein-coding,9q33.3-q34.11,MDM4,4194,Mdm4 p53 binding protein homolog (mouse),protein-coding,1q32
NEK6,10783,NIMA-related kinase 6,protein-coding,9q33.3-q34.11,SMC3,9126,structural maintenance of chromosomes 3,protein-coding,10q25
NEK6,10783,NIMA-related kinase 6,protein-coding,9q33.3-q34.11,CSRP3,8048,cysteine and glycine-rich protein 3 (cardiac LIM protein),protein-coding,11p15.1
NEK6,10783,NIMA-related kinase 6,protein-coding,9q33.3-q34.11,HLCS,3141,holocarboxylase synthetase (biotin-(proprionyl-CoA-carboxylase (ATP-hydrolysing)) ligase),protein-coding,21q22.13
NEK6,10783,NIMA-related kinase 6,protein-coding,9q33.3-q34.11,RBL2,5934,retinoblastoma-like 2 (p130),protein-coding,16q12.2
NEK6,10783,NIMA-related kinase 6,protein-coding,9q33.3-q34.11,SNRNP70,6625,small nuclear ribonucleoprotein 70kDa (U1),protein-coding,19q13.3
NEK6,10783,NIMA-related kinase 6,protein-coding,9q33.3-q34.11,HSF1,3297,heat shock transcription factor 1,protein-coding,8q24.3
NEK6,10783,NIMA-related kinase 6,protein-coding,9q33.3-q34.11,KAT5,10524,K(lysine) acetyltransferase 5,protein-coding,11q13
NEK6,10783,NIMA-related kinase 6,protein-coding,9q33.3-q34.11,PDK2,5164,"pyruvate dehydrogenase kinase, isozyme 2",protein-coding,17q21.33
NEK6,10783,NIMA-related kinase 6,protein-coding,9q33.3-q34.11,PSMA8,143471,"proteasome (prosome, macropain) subunit, alpha type, 8",protein-coding,18q11.2
NEK6,10783,NIMA-related kinase 6,protein-coding,9q33.3-q34.11,SGK1,6446,serum/glucocorticoid regulated kinase 1,protein-coding,6q23
NEK6,10783,NIMA-related kinase 6,protein-coding,9q33.3-q34.11,PAXBP1,94104,PAX3 and PAX7 binding protein 1,protein-coding,21q21.3
NEK6,10783,NIMA-related kinase 6,protein-coding,9q33.3-q34.11,PSMA7,5688,"proteasome (prosome, macropain) subunit, alpha type, 7",protein-coding,20q13.33
NEK6,10783,NIMA-related kinase 6,protein-coding,9q33.3-q34.11,GRIN1,2902,"glutamate receptor, ionotropic, N-methyl D-aspartate 1",protein-coding,9q34.3
NEK6,10783,NIMA-related kinase 6,protein-coding,9q33.3-q34.11,RAB14,51552,"RAB14, member RAS oncogene family",protein-coding,9q32-q34.11
NEK6,10783,NIMA-related kinase 6,protein-coding,9q33.3-q34.11,MFN1,55669,mitofusin 1,protein-coding,3q26.33
NEK6,10783,NIMA-related kinase 6,protein-coding,9q33.3-q34.11,RPS6KB1,6198,"ribosomal protein S6 kinase, 70kDa, polypeptide 1",protein-coding,17q23.1
NEK6,10783,NIMA-related kinase 6,protein-coding,9q33.3-q34.11,ZNF346,23567,zinc finger protein 346,protein-coding,5q35.2
NEK6,10783,NIMA-related kinase 6,protein-coding,9q33.3-q34.11,NUP98,4928,nucleoporin 98kDa,protein-coding,11p15.5
NEK6,10783,NIMA-related kinase 6,protein-coding,9q33.3-q34.11,DCP1A,55802,decapping mRNA 1A,protein-coding,3p21.1
NEK6,10783,NIMA-related kinase 6,protein-coding,9q33.3-q34.11,CDK7,1022,cyclin-dependent kinase 7,protein-coding,5q12.1
NEK7,140609,NIMA-related kinase 7,protein-coding,1q31.3,HLCS,3141,holocarboxylase synthetase (biotin-(proprionyl-CoA-carboxylase (ATP-hydrolysing)) ligase),protein-coding,21q22.13
NEK7,140609,NIMA-related kinase 7,protein-coding,1q31.3,MBNL3,55796,muscleblind-like splicing regulator 3,protein-coding,Xq26.2
NEK8,284086,NIMA-related kinase 8,protein-coding,17q11.1,ASAP3,55616,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 3",protein-coding,1p36.12
NEK8,284086,NIMA-related kinase 8,protein-coding,17q11.1,MBNL3,55796,muscleblind-like splicing regulator 3,protein-coding,Xq26.2
NEK8,284086,NIMA-related kinase 8,protein-coding,17q11.1,KLHL25,64410,kelch-like family member 25,protein-coding,15q25.3
NEK8,284086,NIMA-related kinase 8,protein-coding,17q11.1,VPS39,23339,vacuolar protein sorting 39 homolog (S. cerevisiae),protein-coding,15q15.1
NEK8,284086,NIMA-related kinase 8,protein-coding,17q11.1,UHMK1,127933,U2AF homology motif (UHM) kinase 1,protein-coding,1q23.3
NEK8,284086,NIMA-related kinase 8,protein-coding,17q11.1,SMAD3,4088,SMAD family member 3,protein-coding,15q22.33
NEK8,284086,NIMA-related kinase 8,protein-coding,17q11.1,PHLDA2,7262,"pleckstrin homology-like domain, family A, member 2",protein-coding,11p15.4
